game_id,season,type,date_time,date_time_GMT,away_team_id,home_team_id,away_goals,home_goals,outcome,home_rink_side_start,venue,venue_link,venue_time_zone_id,venue_time_zone_offset,venue_time_zone_tz
2014020760,20142015,R,06-02-15,2015-02-06T00:00:00Z,2,4,3,2,away win SO,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014021018,20142015,R,14-03-15,2015-03-14T17:00:00Z,17,4,2,7,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014020992,20142015,R,10-03-15,2015-03-10T23:00:00Z,25,4,2,1,away win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014021098,20142015,R,26-03-15,2015-03-26T00:00:00Z,16,4,1,4,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014020599,20142015,R,09-01-15,2015-01-09T00:00:00Z,15,4,2,3,home win OT,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014020957,20142015,R,06-03-15,2015-03-06T00:00:00Z,19,4,1,3,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014020453,20142015,R,17-12-14,2014-12-17T00:00:00Z,14,4,3,1,away win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014020698,20142015,R,28-01-15,2015-01-28T00:00:00Z,53,4,3,4,home win SO,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014020423,20142015,R,12-12-14,2014-12-12T00:00:00Z,1,4,1,4,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014020733,20142015,R,01-02-15,2015-02-01T00:00:00Z,10,4,0,1,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014020188,20142015,R,07-11-14,2014-11-07T00:00:00Z,13,4,1,4,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014020280,20142015,R,21-11-14,2014-11-21T00:00:00Z,30,4,3,2,away win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014020467,20142015,R,19-12-14,2014-12-19T00:00:00Z,13,4,2,1,away win SO,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014020943,20142015,R,04-03-15,2015-03-04T00:00:00Z,20,4,3,2,away win OT,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014020627,20142015,R,13-01-15,2015-01-13T00:00:00Z,14,4,3,7,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
2014020874,20142015,R,21-02-15,2015-02-21T18:00:00Z,18,4,2,3,home win SO,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT
