DIST,DC_KEY,CODE,DATE_,TIME,RACE,SEX,LATINO,AGE,WOUND,INSIDE,OUTSIDE,FATAL,OFFICER_INVOLVED,OFFENDER_INJURED,OFFENDER_DECEASED,LOCATION,SHAPE,Police Districts
39,201539102594,0411,12/23/2015 12:00:00 AM,10:30 am,B,M,0,32,shoulder,0,-1,0,N,N,N,2100 Block of W. Allegheny Ave.,POINT (-75.164345 40.003046),21
39,201539102975,0411,12/24/2015 12:00:00 AM,17:40 pm,B,M,0,23,arm,0,-1,0,N,N,N,5000 Block of Keyser St.,POINT (-75.167043 40.026041),21
39,201539102976,0411,12/24/2015 12:00:00 AM,17:40 pm,B,M,0,26,multi,0,-1,0,N,N,N,5000 Block of Keyser St.,POINT (-75.167043 40.026041),21
39,201539103161,0411,12/25/2015 12:00:00 AM,00:40 am,B,M,0,21,leg,0,-1,0,N,N,N,2700 Block of N. 21st St.,POINT (-75.16601 39.995476),21
39,201539103310,0411,12/26/2015 12:00:00 AM,00:47 am,B,M,0,31,leg,0,-1,0,N,N,N,1600 Block of W. Hunting Park Ave.,POINT (-75.151576 40.016916),21
39,201539103311,0411,12/26/2015 12:00:00 AM,00:47 am,B,M,0,30,abdomen,0,-1,0,N,N,N,1600 Block of W. Hunting Park Ave.,POINT (-75.151576 40.016916),21
39,201539104726,0111,12/31/2015 12:00:00 AM,00:18 am,B,M,0,21,multi,0,-1,-1,N,N,N,3100 Block of N. 25th St.,POINT (-75.17108 40.002366),21
01,201601004128,0411,01/27/2016 12:00:00 AM,20:55 pm,B,M,0,22,leg,0,-1,0,N,N,N,2700 Block of Snyder Ave,POINT (-75.191043 39.927087),1
01,201601004129,0411,01/27/2016 12:00:00 AM,20:55 pm,B,M,0,17,back,0,-1,0,N,N,N,2700 Block of Snyder Ave,POINT (-75.191043 39.927087),1
39,201639004835,0111,01/17/2016 12:00:00 AM,07:43 pm,B,M,0,43,chest,0,-1,-1,N,N,N,3000 Block of N. Baily St,POINT (-75.173411 40.001632),21
39,201639005355,0411,01/20/2016 12:00:00 AM,12:58 am,B,M,0,48,abdom,0,-1,0,N,N,N,1700 Block of W Juanita St,POINT (-75.154 40.01836),21
39,201639008467,0411,02/01/2016 12:00:00 AM,20:21 pm,B,M,0,18,knee,0,-1,0,N,N,N,4300 Block of Germantown Ave,POINT (-75.155757 40.019087),21
14,201514042311,0300,05/31/2015 12:00:00 AM,21:22 pm,B,M,0,53,hip,0,-1,0,N,N,N,7100 Block of N.18th St.,POINT (-75.145994 40.06295),10
14,201514043851,0411,06/06/2015 12:00:00 AM,01:20 am,B,M,0,17,multi,0,-1,0,N,N,N,0 Block of E. Bringhurst St.,POINT (-75.167131 40.032035),10
14,201514044424,0411,06/07/2015 12:00:00 AM,23:30 pm,B,M,0,35,leg,0,-1,0,N,N,N,500 Block of E Queen Ln,POINT (-75.16133 40.038202),10
14,201514046590,0111,06/15/2015 12:00:00 AM,18:00 pm,B,M,0,43,head,-1,0,-1,N,N,N,7100 Block of Ardleigh St.,POINT (-75.184316 40.063761),10
14,201514049551,0411,06/24/2015 12:00:00 AM,23:58 pm,B,M,0,29,leg,0,-1,0,N,N,N,100 Block of E. Washington Ln,POINT (-75.178607 40.045396),10
14,201514049975,0411,06/26/2015 12:00:00 AM,12:12 pm,B,M,0,22,multi,0,-1,0,N,N,N,5500 Block of Blakemore St.,POINT (-75.158214 40.047242),10
14,201514049981,0411,06/26/2015 12:00:00 AM,12:12 pm,B,M,0,35,multi,0,-1,0,N,N,N,5500 Block of Blakemore St.,POINT (-75.158214 40.047242),10
14,201514050037,0411,06/26/2015 12:00:00 AM,17:05 pm,B,M,0,29,abdomen,0,-1,0,N,N,N,7800 Block of Provident St.,POINT (-75.161182 40.072317),10
14,201514050425,0411,06/27/2015 12:00:00 AM,23:34 pm,B,M,0,19,multi,0,-1,0,N,N,N,7400 Block of Ogontz Ave.,POINT (-75.156766 40.068452),10
14,201514050610,0111,06/28/2015 12:00:00 AM,20:48 pm,B,M,0,34,multi,0,-1,-1,N,N,N,1300 Block of E. Price St.,POINT (-75.158704 40.053232),10
