OBJECTID,CRN,CRASH_YEAR,UNIT_NUM,VEH_TYPE,BODY_TYPE,VEH_MOVEMENT,TRAVEL_SPD,VEHICLE_FAILURE
676,2011019032,2011,1,1,4,1,20,0
677,2011019032,2011,2,1,9,1,35,0
678,2011019422,2011,1,7,41,17,70,0
679,2011019646,2011,1,4,51,15,40,0
680,2011019648,2011,1,1,4,8,55,0
681,2011019648,2011,2,6,12,1,55,0
682,2011019649,2011,1,6,15,16,35,0
683,2011019649,2011,2,1,4,16,10,0
684,2011019650,2011,1,5,75,1,5,1
685,2011019650,2011,2,1,4,1,35,1
686,2011019652,2011,1,1,4,1,40,0
687,2011019652,2011,2,1,15,2,5,0
688,2011019652,2011,3,1,5,2,5,0
689,2011019959,2011,1,1,4,1,50,0
690,2011019959,2011,2,6,15,2,10,0
691,2011020059,2011,1,1,4,1,60,0
692,2011020059,2011,2,1,15,1,55,0
693,2011020060,2011,1,6,15,1,55,0
694,2011020060,2011,2,5,75,2,40,0
695,2011020062,2011,1,1,4,15,55,0
696,2011020063,2011,1,6,15,15,65,0
697,2011020063,2011,2,1,2,1,65,0
698,2011020064,2011,1,6,15,1,60,0
699,2011020064,2011,2,1,12,3,0,0
700,2011020064,2011,3,1,4,3,0,0
701,2011020064,2011,4,6,15,1,60,0
702,2011020065,2011,1,1,5,1,15,0
703,2011020065,2011,2,1,2,1,5,0
704,2011020066,2011,1,6,15,15,40,0
705,2011020066,2011,2,1,5,16,40,0
706,2011020067,2011,1,1,9,3,,0
707,2011020067,2011,2,6,12,1,45,0
708,2011020067,2011,3,6,15,1,45,0
709,2011020068,2011,1,1,2,16,60,0
710,2011020069,2011,1,6,15,1,35,0
711,2011020069,2011,2,1,4,3,0,0
712,2011020070,2011,1,1,5,1,55,0
713,2011020070,2011,2,1,4,2,10,0
714,2011020070,2011,3,1,4,2,10,0
715,2011020241,2011,1,7,12,1,15,0
716,2011020241,2011,2,6,15,1,10,0
717,2011020241,2011,3,1,5,1,10,0
718,2011020330,2011,1,1,9,16,999,0
719,2011020367,2011,1,1,4,1,55,0
720,2011020369,2011,1,1,4,1,20,0
721,2011020369,2011,2,4,51,1,20,0
722,2011020510,2011,1,1,4,1,55,0
723,2011020510,2011,2,1,2,1,45,0
724,2011020511,2011,1,6,15,16,999,0
725,2011020511,2011,2,1,4,16,35,0
726,2011020511,2011,3,1,4,16,35,0
727,2011020512,2011,1,6,12,17,35,0
728,2011020513,2011,1,1,6,1,999,0
729,2011020514,2011,1,1,2,1,50,1
730,2011020515,2011,1,1,6,2,40,0
731,2011020515,2011,2,1,4,3,0,0
732,2011020515,2011,3,1,4,3,0,0
733,2011020517,2011,1,1,4,3,0,0
734,2011020517,2011,2,6,15,1,25,0
735,2011020990,2011,1,1,2,1,35,0
736,2011020990,2011,2,7,12,3,0,0
737,2011020990,2011,3,1,4,1,20,0
738,2011020990,2011,4,1,4,1,5,0
739,2011020990,2011,5,99,,1,5,0
740,2011020991,2011,1,4,69,15,65,0
741,2011020991,2011,2,1,4,1,45,0
742,2011020992,2011,1,6,15,12,25,0
743,2011020992,2011,2,6,15,1,25,0
744,2011021116,2011,1,6,15,1,35,0
745,2011021116,2011,2,6,15,3,0,0
746,2011021116,2011,3,99,,3,0,0
747,2011021319,2011,1,1,1,15,55,0
748,2011021319,2011,2,1,4,16,50,0
749,2011021319,2011,3,5,73,16,50,0
750,2011021904,2011,1,1,4,1,50,0
751,2011021904,2011,2,1,4,6,0,0
752,2011021904,2011,3,,,,,0
753,2011021908,2011,1,6,15,15,55,1
754,2011022195,2011,1,1,4,1,999,0
755,2011022195,2011,2,6,15,2,999,0
756,2011022196,2011,1,1,2,1,80,0
757,2011022199,2011,1,1,4,98,999,0
758,2011022200,2011,1,6,15,1,65,1
759,2011022200,2011,2,5,73,1,55,1
760,2011022201,2011,1,4,51,15,70,0
761,2011022201,2011,2,6,15,1,60,0
762,2011022202,2011,1,1,4,15,65,0
763,2011022202,2011,2,1,4,1,55,0
764,2011022202,2011,3,1,2,1,65,0
765,2011022204,2011,1,1,4,15,65,0
766,2011022204,2011,2,1,4,1,40,0
