OBJECTID,CRN,CRASH_YEAR,LANE_COUNT,SPEED_LIMIT,ACCESS_CTRL,RDWY_ORIENT
5596,2011056787,2011,2,25,,N
5597,2011056788,2011,99,,,N
5598,2011056788,2011,1,25,,W
5599,2011056789,2011,2,,,S
5600,2011056789,2011,1,,,W
5601,2011056790,2011,1,25,,S
5602,2011056790,2011,1,25,,E
5603,2011056791,2011,2,35,3,N
5604,2011056792,2011,2,,,E
5605,2011056792,2011,2,,,N
5606,2011056793,2011,2,30,3,N
5607,2011056793,2011,2,35,3,S
5608,2011056793,2011,2,,,E
5609,2011056794,2011,2,,,N
5610,2011056795,2011,2,30,3,N
5611,2011056795,2011,2,40,3,E
5612,2011056795,2011,2,35,3,W
5613,2011056796,2011,3,35,3,N
5614,2011056796,2011,2,,,N
5615,2011056796,2011,2,,,N
5616,2011056797,2011,4,30,3,N
5617,2011056797,2011,3,,3,E
5618,2011056798,2011,2,35,3,N
5619,2011056798,2011,3,30,3,E
5620,2011056798,2011,3,30,3,W
5621,2011056798,2011,2,35,,S
5622,2011056799,2011,2,,,S
5623,2011056800,2011,2,30,3,N
5624,2011056800,2011,2,30,3,S
5625,2011056800,2011,3,25,3,W
5626,2011056801,2011,2,25,,S
5627,2011056802,2011,2,35,3,E
5628,2011056802,2011,2,,,N
5629,2011056804,2011,2,,,E
5630,2011056804,2011,2,,,N
5631,2011056805,2011,2,30,3,N
5632,2011056806,2011,3,40,3,N
5633,2011056807,2011,1,25,,E
5634,2011056808,2011,2,25,,W
5635,2011056809,2011,2,,,E
5636,2011056810,2011,1,25,,W
5637,2011056811,2011,2,25,,E
5638,2011056811,2011,2,25,,S
5639,2011056812,2011,2,35,,W
5640,2011056812,2011,2,25,,N
5641,2011056813,2011,2,35,,N
5642,2011056814,2011,4,25,3,W
5643,2011056814,2011,2,25,,S
5644,2011056815,2011,1,50,1,S
5645,2011056815,2011,1,,1,W
5646,2011056816,2011,3,40,3,S
5647,2011056816,2011,2,35,,S
5648,2011056817,2011,3,25,3,N
5649,2011056817,2011,1,,,N
5650,2011056818,2011,2,,,W
5651,2011056819,2011,3,45,3,S
5652,2011056820,2011,3,40,3,N
5653,2011056820,2011,2,,,U
5654,2011056820,2011,8,40,,N
5655,2011056821,2011,1,35,,W
5656,2011056821,2011,2,35,,N
5657,2011056822,2011,1,25,,E
5658,2011056823,2011,2,30,3,N
5659,2011056823,2011,99,,,E
5660,2011056823,2011,3,,,N
5661,2011056824,2011,3,35,3,S
5662,2011056825,2011,1,,1,S
5663,2011056825,2011,1,,,E
5664,2011056825,2011,1,25,,N
5665,2011056826,2011,2,,,N
5666,2011056826,2011,2,,,S
5667,2011056827,2011,2,30,3,E
5668,2011056827,2011,2,35,,N
5669,2011056828,2011,1,15,,E
5670,2011056829,2011,2,30,3,S
5671,2011056830,2011,2,25,3,W
5672,2011056831,2011,2,35,3,N
5673,2011056832,2011,2,35,3,N
5674,2011056832,2011,2,35,3,S
5675,2011056832,2011,2,30,,E
5676,2011056833,2011,1,,,N
5677,2011056834,2011,3,40,2,W
5678,2011056834,2011,2,25,,N
5679,2011056835,2011,1,,,N
5680,2011056836,2011,2,30,3,E
5681,2011056836,2011,2,30,3,W
5682,2011056836,2011,2,35,,N
5683,2011056837,2011,2,35,,N
5684,2011056839,2011,3,40,3,N
5685,2011056839,2011,99,,,U
5686,2011056839,2011,99,,,U
5687,2011056840,2011,3,45,3,N
5688,2011056840,2011,3,45,3,S
5689,2011056840,2011,3,40,3,N
5690,2011056840,2011,3,40,3,S
5691,2011056840,2011,2,,,W
5692,2011056841,2011,3,45,3,N
5693,2011056842,2011,1,25,,S
5694,2011056842,2011,1,25,,E
5695,2011056843,2011,1,25,,S
5696,2011056844,2011,2,35,3,N
5697,2011056844,2011,2,35,3,S
5698,2011056844,2011,2,,,E
5699,2011056844,2011,2,,,E
5700,2011056845,2011,2,35,3,N
5701,2011056845,2011,2,35,3,S
5702,2011056845,2011,2,35,,N
5703,2011056845,2011,2,,,E
5704,2011056846,2011,3,45,3,N
5705,2011056846,2011,3,45,3,N
5706,2011056846,2011,2,30,3,E
5707,2011056846,2011,3,25,3,W
